TipoTitulo;DataVencimento;DataBase;TaxaCompraManha;TaxaVendaManha;PUCompraManha;PUVendaManha;PUBaseManha
Tesouro Prefixado com Juros Semestrais;01/01/2008;20/01/2005;17.78;17.88;844.65;842.82;842.27
Tesouro Selic;16/02/2005;19/01/2005;0.01;0.03;2181.08;2181.05;2179.63
Tesouro Selic;18/01/2006;19/01/2005;0.12;0.14;2178.50;2178.07;2176.64
Tesouro Selic;17/01/2007;19/01/2005;0.19;0.23;2172.93;2171.21;2169.79
Tesouro Selic;18/06/2008;19/01/2005;0.28;0.36;2160.60;2154.79;2153.36
Tesouro Selic;18/03/2009;19/01/2005;0.33;0.41;2151.58;2144.50;2143.08
Tesouro Prefixado;01/04/2005;19/01/2005;18.65;18.69;967.95;967.88;967.23
Tesouro Prefixado;01/07/2005;19/01/2005;18.96;19.00;926.37;926.23;925.60
Tesouro Prefixado;01/10/2005;19/01/2005;18.94;19.00;885.91;885.59;884.98
Tesouro Prefixado;01/01/2006;19/01/2005;18.71;18.77;850.45;850.04;849.46
Tesouro Prefixado;01/07/2006;19/01/2005;18.31;18.39;785.42;784.66;784.13
Tesouro IPCA+ com Juros Semestrais;15/08/2006;19/01/2005;8.81;8.83;1468.20;1467.80;1466.99
Tesouro IPCA+ com Juros Semestrais;15/05/2009;19/01/2005;8.84;8.88;1361.75;1359.86;1359.11
Tesouro IPCA+ com Juros Semestrais;15/05/2045;19/01/2005;9.03;9.13;1030.46;1019.52;1018.95
Tesouro IPCA+ com Juros Semestrais;15/08/2024;19/01/2005;8.87;8.95;1144.62;1136.12;1135.49
Tesouro IPCA+ com Juros Semestrais;15/05/2015;19/01/2005;8.81;8.89;1234.52;1227.79;1227.11
Tesouro IGPM+ com Juros Semestrais;01/07/2005;19/01/2005;11.03;11.05;1777.76;1777.62;1776.53
Tesouro IGPM+ com Juros Semestrais;01/12/2005;19/01/2005;10.20;10.22;1764.56;1764.29;1763.26
Tesouro IGPM+ com Juros Semestrais;01/12/2006;19/01/2005;9.42;9.44;1808.85;1808.27;1807.27
Tesouro IGPM+ com Juros Semestrais;01/04/2008;19/01/2005;9.06;9.10;1698.42;1696.63;1695.71
Tesouro IGPM+ com Juros Semestrais;01/03/2011;19/01/2005;8.38;8.44;1656.06;1651.48;1650.62
Tesouro IGPM+ com Juros Semestrais;01/01/2031;19/01/2005;8.25;8.35;2524.81;2500.41;2499.12
Tesouro IGPM+ com Juros Semestrais;01/04/2021;19/01/2005;8.26;8.34;1492.31;1481.67;1480.91
Tesouro IPCA+ com Juros Semestrais;15/08/2012;17/08/2007;8.00;8.04;1530.11;1527.65;1526.78
Tesouro IPCA+ com Juros Semestrais;15/08/2010;17/08/2007;7.99;8.03;1576.88;1575.26;1574.37
